index,Size,Fluo,Clarity,Cut,Polish,Symmetry,D,E,F,G,H,I,J,K,L,M
901,0.75-0.79,None,VVS1,VG,GD,EX,-39.0,-36.0,-34.0,-40,-46,-45,-41,-41,-38,-41
902,0.75-0.79,None,VVS2,VG,GD,EX,-43.0,-43.0,-41.0,-46,-48,-44,-42,-42,-38,-47
903,0.80-0.89,None,IF,VG,GD,EX,-34.0,-29.000000000000004,-27.000000000000004,-29,-35,-31,-33,-30,-34,-36
904,0.80-0.89,None,SI1,VG,GD,EX,-38.0,-39.0,-37.0,-37,-36,-33,-34,-39,-38,-42
905,0.80-0.89,None,SI2,VG,GD,EX,-40.0,-44.0,-43.0,-41,-39,-38,-35,-37,-39,-42
906,0.80-0.89,None,VS1,VG,GD,EX,-33.0,-33.0,-33.0,-36,-37,-37,-34,-31,-38,-41
907,0.80-0.89,None,VS2,VG,GD,EX,-33.0,-35.0,-35.0,-34,-36,-37,-32,-34,-37,-41
908,0.80-0.89,None,VVS1,VG,GD,EX,-29.000000000000004,-27.000000000000004,-28.000000000000004,-28,-34,-33,-33,-32,-33,-39
909,0.80-0.89,None,VVS2,VG,GD,EX,-32.0,-31.000000000000004,-33.0,-33,-37,-35,-33,-27,-37,-44
910,0.90-0.94,None,IF,VG,GD,EX,-50.0,-50.0,-50.0,-52,-52,-43,-41,-42,-45,-48
911,0.90-0.94,None,SI1,VG,GD,EX,-47.0,-45.0,-45.0,-44,-45,-46,-45,-42,-45,-47
912,0.90-0.94,None,SI2,VG,GD,EX,-51.0,-51.0,-47.0,-49,-48,-44,-43,-46,-43,-44
913,0.90-0.94,None,VS1,VG,GD,EX,-54.0,-52.0,-48.0,-48,-50,-47,-44,-43,-44,-45
914,0.90-0.94,None,VS2,VG,GD,EX,-52.0,-49.0,-49.0,-47,-49,-47,-46,-45,-45,-44
915,0.90-0.94,None,VVS1,VG,GD,EX,-50.0,-48.0,-47.0,-50,-52,-44,-42,-41,-45,-46
916,0.90-0.94,None,VVS2,VG,GD,EX,-54.0,-51.0,-48.0,-50,-52,-47,-45,-45,-46,-45
917,0.95-0.99,None,IF,VG,GD,EX,-41.0,-39.0,-39.0,-46,-45,-39,-35,-36,-39,-38
918,0.95-0.99,None,SI1,VG,GD,EX,-39.0,-37.0,-38.0,-37,-38,-40,-40,-35,-35,-39
