,Clarity,D,E,F,G,H,I,J,K,L,M,Cut,Polish,Symmetry,Fluo,Size
54,SI1,-49,-50,-49,-44,-42,-42,-42,-42,-40,-38,EX,DD,DD,Faint,0.30-0.34
55,SI2,-49,-51,-48,-42,-42,-43,-40,-44,-42,-38,EX,DD,DD,Faint,0.30-0.34
56,IF,-56,-51,-50,-54,-53,-51,-50,-50,-45,-45,EX,DD,DD,Med,0.30-0.34
57,VVS1,-53,-49,-48,-51,-51,-49,-49,-48,-44,-50,EX,DD,DD,Med,0.30-0.34
58,VVS2,-54,-53,-52,-51,-50,-50,-50,-47,-44,-48,EX,DD,DD,Med,0.30-0.34
59,VS1,-50,-53,-50,-47,-47,-47,-46,-43,-42,-42,EX,DD,DD,Med,0.30-0.34
60,VS2,-54,-54,-51,-47,-46,-48,-46,-42,-43,-41,EX,DD,DD,Med,0.30-0.34
61,SI1,-53,-54,-52,-46,-43,-44,-43,-43,-41,-39,EX,DD,DD,Med,0.30-0.34
62,SI2,-53,-55,-51,-44,-43,-45,-41,-45,-43,-39,EX,DD,DD,Med,0.30-0.34
63,IF,-64,-59,-58,-61,-62,-61,-60,-60,-55,-55,EX,DD,DD,Very Strong,0.30-0.34
64,VVS1,-61,-57,-56,-58,-60,-59,-59,-58,-54,-60,EX,DD,DD,Very Strong,0.30-0.34
65,VVS2,-62,-61,-60,-58,-59,-60,-60,-57,-54,-58,EX,DD,DD,Very Strong,0.30-0.34
66,VS1,-58,-61,-59,-56,-55,-56,-55,-53,-52,-52,EX,DD,DD,Very Strong,0.30-0.34
67,VS2,-62,-62,-60,-56,-54,-57,-55,-52,-53,-51,EX,DD,DD,Very Strong,0.30-0.34
68,SI1,-61,-62,-61,-56,-52,-53,-52,-52,-50,-48,EX,DD,DD,Very Strong,0.30-0.34
69,SI2,-61,-63,-60,-54,-52,-54,-50,-54,-52,-48,EX,DD,DD,Very Strong,0.30-0.34
70,IF,-52,-48,-47,-51,-52,-51,-50,-51,-46,-46,VG,DD,DD,None,0.30-0.34
71,VVS1,-49,-46,-45,-48,-50,-49,-49,-49,-45,-51,VG,DD,DD,None,0.30-0.34
72,VVS2,-50,-50,-49,-48,-49,-50,-50,-48,-45,-49,VG,DD,DD,None,0.30-0.34
