,Clarity,D,E,F,G,H,I,J,K,L,M,Cut,Polish,Symmetry,Fluo,Size
1054,VS2,-49,-47,-48,-47,-43,-45,-41,-43,-43,-46,VG,DD,DD,None,0.70-0.74
1055,SI1,-52,-50,-45,-44,-43,-42,-40,-40,-42,-44,VG,DD,DD,None,0.70-0.74
1056,SI2,-51,-50,-49,-47,-44,-41,-42,-43,-42,-38,VG,DD,DD,None,0.70-0.74
1057,IF,-51,-46,-43,-45,-53,-49,-46,-44,-42,-42,VG,DD,DD,Faint,0.70-0.74
1058,VVS1,-47,-44,-42,-47,-51,-48,-43,-42,-45,-43,VG,DD,DD,Faint,0.70-0.74
1059,VVS2,-52,-48,-44,-49,-51,-48,-44,-45,-44,-50,VG,DD,DD,Faint,0.70-0.74
1060,VS1,-52,-52,-50,-46,-51,-44,-42,-41,-44,-49,VG,DD,DD,Faint,0.70-0.74
1061,VS2,-56,-53,-53,-52,-48,-49,-44,-46,-46,-49,VG,DD,DD,Faint,0.70-0.74
1062,SI1,-59,-56,-50,-49,-47,-46,-43,-43,-45,-47,VG,DD,DD,Faint,0.70-0.74
1063,SI2,-58,-56,-54,-52,-48,-45,-45,-46,-45,-41,VG,DD,DD,Faint,0.70-0.74
1064,IF,-56,-51,-49,-50,-57,-53,-50,-49,-47,-47,VG,DD,DD,Med,0.70-0.74
1065,VVS1,-52,-49,-48,-52,-55,-52,-47,-47,-50,-48,VG,DD,DD,Med,0.70-0.74
1066,VVS2,-57,-53,-50,-54,-55,-52,-48,-50,-49,-55,VG,DD,DD,Med,0.70-0.74
1067,VS1,-57,-58,-55,-51,-55,-49,-47,-46,-49,-54,VG,DD,DD,Med,0.70-0.74
1068,VS2,-61,-59,-58,-57,-52,-54,-49,-51,-51,-54,VG,DD,DD,Med,0.70-0.74
1069,SI1,-62,-60,-54,-52,-51,-49,-47,-47,-49,-51,VG,DD,DD,Med,0.70-0.74
1070,SI2,-61,-60,-58,-55,-52,-48,-49,-50,-49,-45,VG,DD,DD,Med,0.70-0.74
1071,IF,-64,-60,-57,-59,-66,-62,-59,-57,-55,-55,VG,DD,DD,Strong,0.70-0.74
1072,VVS1,-60,-58,-56,-61,-64,-61,-56,-55,-58,-56,VG,DD,DD,Strong,0.70-0.74
1073,VVS2,-65,-62,-58,-63,-64,-61,-57,-58,-57,-63,VG,DD,DD,Strong,0.70-0.74
1074,VS1,-61,-62,-60,-56,-61,-55,-53,-50,-53,-58,VG,DD,DD,Strong,0.70-0.74
1075,VS2,-65,-63,-63,-62,-58,-60,-55,-55,-55,-58,VG,DD,DD,Strong,0.70-0.74
1076,SI1,-66,-63,-58,-57,-56,-54,-51,-51,-53,-55,VG,DD,DD,Strong,0.70-0.74
1077,SI2,-65,-63,-62,-60,-57,-53,-53,-54,-53,-49,VG,DD,DD,Strong,0.70-0.74
1078,IF,-69,-65,-62,-64,-71,-67,-64,-62,-60,-60,VG,DD,DD,Very Strong,0.70-0.74
1079,VVS1,-65,-63,-61,-66,-69,-66,-61,-60,-63,-61,VG,DD,DD,Very Strong,0.70-0.74
1080,VVS2,-70,-67,-63,-68,-69,-66,-62,-63,-62,-68,VG,DD,DD,Very Strong,0.70-0.74
1081,VS1,-66,-67,-65,-61,-66,-60,-58,-55,-58,-63,VG,DD,DD,Very Strong,0.70-0.74
1082,VS2,-70,-68,-68,-67,-63,-65,-60,-60,-60,-63,VG,DD,DD,Very Strong,0.70-0.74
1083,SI1,-71,-68,-63,-62,-61,-59,-56,-56,-58,-60,VG,DD,DD,Very Strong,0.70-0.74
1084,SI2,-70,-68,-67,-65,-62,-58,-58,-59,-58,-54,VG,DD,DD,Very Strong,0.70-0.74
1085,IF,-57,-52,-52,-53,-61,-57,-56,-54,-52,-52,GD,DD,DD,None,0.70-0.74
1086,VVS1,-53,-50,-51,-55,-59,-56,-53,-52,-55,-53,GD,DD,DD,None,0.70-0.74
1087,VVS2,-58,-54,-53,-57,-59,-56,-54,-55,-54,-60,GD,DD,DD,None,0.70-0.74
1088,VS1,-59,-59,-58,-54,-59,-54,-51,-51,-54,-59,GD,DD,DD,None,0.70-0.74
1089,VS2,-63,-60,-61,-60,-56,-59,-53,-56,-56,-59,GD,DD,DD,None,0.70-0.74
1090,SI1,-65,-62,-58,-57,-56,-56,-51,-50,-52,-54,GD,DD,DD,None,0.70-0.74
1091,SI2,-64,-62,-62,-60,-57,-55,-53,-53,-52,-48,GD,DD,DD,None,0.70-0.74
1092,IF,-63,-58,-57,-58,-66,-61,-60,-58,-56,-56,GD,DD,DD,Faint,0.70-0.74
1093,VVS1,-59,-56,-56,-60,-64,-60,-57,-56,-59,-57,GD,DD,DD,Faint,0.70-0.74
1094,VVS2,-64,-60,-58,-62,-64,-60,-58,-59,-58,-64,GD,DD,DD,Faint,0.70-0.74
1095,VS1,-63,-63,-62,-58,-63,-57,-54,-54,-57,-62,GD,DD,DD,Faint,0.70-0.74
1096,VS2,-67,-64,-65,-64,-60,-62,-56,-59,-59,-62,GD,DD,DD,Faint,0.70-0.74
1097,SI1,-67,-66,-62,-61,-60,-59,-54,-53,-55,-57,GD,DD,DD,Faint,0.70-0.74
1098,SI2,-67,-66,-66,-64,-61,-58,-56,-56,-55,-51,GD,DD,DD,Faint,0.70-0.74
1099,IF,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,GD,DD,DD,Med,0.70-0.74
1100,VVS1,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,GD,DD,DD,Med,0.70-0.74
1101,VVS2,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,GD,DD,DD,Med,0.70-0.74
1102,VS1,-69,-69,-69,-69,-69,-69,-68,-68,-69,-69,GD,DD,DD,Med,0.70-0.74
1103,VS2,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,GD,DD,DD,Med,0.70-0.74
1104,SI1,-69,-69,-69,-69,-69,-69,-65,-63,-65,-67,GD,DD,DD,Med,0.70-0.74
1105,SI2,-69,-69,-69,-69,-69,-69,-67,-66,-65,-61,GD,DD,DD,Med,0.70-0.74
1106,IF,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,GD,DD,DD,Strong,0.70-0.74
1107,VVS1,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,GD,DD,DD,Strong,0.70-0.74
1108,VVS2,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,GD,DD,DD,Strong,0.70-0.74
1109,VS1,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,GD,DD,DD,Strong,0.70-0.74
1110,VS2,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,GD,DD,DD,Strong,0.70-0.74
1111,SI1,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,GD,DD,DD,Strong,0.70-0.74
1112,SI2,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,GD,DD,DD,Strong,0.70-0.74
1113,IF,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,GD,DD,DD,Very Strong,0.70-0.74
1114,VVS1,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,GD,DD,DD,Very Strong,0.70-0.74
1115,VVS2,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,GD,DD,DD,Very Strong,0.70-0.74
1116,VS1,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,GD,DD,DD,Very Strong,0.70-0.74
1117,VS2,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,GD,DD,DD,Very Strong,0.70-0.74
1118,SI1,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,GD,DD,DD,Very Strong,0.70-0.74
1119,SI2,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,GD,DD,DD,Very Strong,0.70-0.74
1120,IF,-24,-20,-18,-25,-29,-29,-28,-26,-28,-28,EX,EX,EX,None,0.75-0.79
1121,VVS1,-21,-19,-18,-25,-30,-29,-26,-28,-26,-28,EX,EX,EX,None,0.75-0.79
1122,VVS2,-27,-25,-23,-29,-32,-30,-27,-28,-26,-33,EX,EX,EX,None,0.75-0.79
1123,VS1,-29,-28,-28,-27,-30,-28,-25,-28,-29,-32,EX,EX,EX,None,0.75-0.79
1124,VS2,-32,-34,-32,-30,-28,-26,-26,-28,-27,-34,EX,EX,EX,None,0.75-0.79
1125,SI1,-32,-30,-31,-29,-27,-24,-23,-29,-28,-33,EX,EX,EX,None,0.75-0.79
1126,SI2,-37,-34,-36,-33,-29,-28,-23,-28,-29,-28,EX,EX,EX,None,0.75-0.79
1127,IF,-31,-26,-24,-30,-34,-32,-31,-28,-30,-30,EX,EX,EX,Faint,0.75-0.79
1128,VVS1,-28,-25,-24,-30,-35,-32,-29,-30,-28,-30,EX,EX,EX,Faint,0.75-0.79
1129,VVS2,-34,-31,-29,-34,-37,-33,-30,-30,-28,-35,EX,EX,EX,Faint,0.75-0.79
1130,VS1,-36,-34,-34,-31,-34,-31,-28,-31,-32,-35,EX,EX,EX,Faint,0.75-0.79
1131,VS2,-39,-40,-38,-34,-32,-29,-29,-31,-30,-37,EX,EX,EX,Faint,0.75-0.79
1132,SI1,-39,-36,-37,-33,-31,-27,-26,-32,-31,-36,EX,EX,EX,Faint,0.75-0.79
1133,SI2,-44,-40,-42,-37,-33,-31,-26,-31,-32,-31,EX,EX,EX,Faint,0.75-0.79
1134,IF,-36,-30,-28,-35,-38,-36,-35,-33,-35,-35,EX,EX,EX,Med,0.75-0.79
1135,VVS1,-33,-29,-28,-35,-39,-36,-33,-35,-33,-35,EX,EX,EX,Med,0.75-0.79
1136,VVS2,-39,-35,-33,-39,-41,-37,-34,-35,-33,-40,EX,EX,EX,Med,0.75-0.79
1137,VS1,-40,-38,-38,-36,-39,-35,-32,-35,-36,-39,EX,EX,EX,Med,0.75-0.79
1138,VS2,-43,-44,-42,-39,-37,-33,-33,-35,-34,-41,EX,EX,EX,Med,0.75-0.79
1139,SI1,-42,-40,-41,-38,-35,-32,-31,-37,-36,-41,EX,EX,EX,Med,0.75-0.79
1140,SI2,-47,-44,-46,-42,-37,-36,-31,-36,-37,-36,EX,EX,EX,Med,0.75-0.79
1141,IF,-45,-41,-39,-45,-47,-46,-44,-42,-44,-44,EX,EX,EX,Strong,0.75-0.79
1142,VVS1,-42,-40,-39,-45,-48,-46,-42,-44,-42,-44,EX,EX,EX,Strong,0.75-0.79
1143,VVS2,-48,-46,-44,-49,-50,-47,-43,-44,-42,-49,EX,EX,EX,Strong,0.75-0.79
1144,VS1,-45,-43,-43,-41,-44,-42,-37,-40,-41,-44,EX,EX,EX,Strong,0.75-0.79
1145,VS2,-48,-49,-47,-44,-42,-40,-38,-40,-39,-46,EX,EX,EX,Strong,0.75-0.79
1146,SI1,-47,-45,-46,-42,-40,-36,-34,-40,-39,-44,EX,EX,EX,Strong,0.75-0.79
1147,SI2,-52,-49,-51,-46,-42,-40,-34,-39,-40,-39,EX,EX,EX,Strong,0.75-0.79
1148,IF,-50,-46,-44,-50,-52,-51,-49,-47,-49,-49,EX,EX,EX,Very Strong,0.75-0.79
1149,VVS1,-47,-45,-44,-50,-53,-51,-47,-49,-47,-49,EX,EX,EX,Very Strong,0.75-0.79
1150,VVS2,-53,-51,-49,-54,-55,-52,-48,-49,-47,-54,EX,EX,EX,Very Strong,0.75-0.79
1151,VS1,-50,-48,-48,-46,-49,-47,-42,-45,-46,-49,EX,EX,EX,Very Strong,0.75-0.79
1152,VS2,-53,-54,-52,-49,-47,-45,-43,-45,-44,-51,EX,EX,EX,Very Strong,0.75-0.79
1153,SI1,-52,-50,-51,-47,-45,-41,-39,-45,-44,-49,EX,EX,EX,Very Strong,0.75-0.79
1154,SI2,-57,-54,-56,-51,-47,-45,-39,-44,-45,-44,EX,EX,EX,Very Strong,0.75-0.79
1155,IF,-50,-46,-44,-50,-51,-50,-47,-45,-47,-47,EX,DD,DD,Strong,0.75-0.79
1156,VVS1,-47,-45,-44,-50,-52,-50,-45,-47,-45,-47,EX,DD,DD,Strong,0.75-0.79
1157,VVS2,-53,-51,-49,-54,-54,-51,-46,-47,-45,-52,EX,DD,DD,Strong,0.75-0.79
1158,VS1,-49,-47,-47,-45,-47,-45,-40,-43,-44,-47,EX,DD,DD,Strong,0.75-0.79
1159,VS2,-52,-53,-51,-48,-45,-43,-41,-43,-42,-49,EX,DD,DD,Strong,0.75-0.79
1160,SI1,-51,-49,-50,-46,-43,-39,-36,-42,-41,-46,EX,DD,DD,Strong,0.75-0.79
1161,SI2,-56,-53,-55,-50,-45,-43,-36,-41,-42,-41,EX,DD,DD,Strong,0.75-0.79
1162,IF,-29,-25,-23,-30,-33,-33,-31,-29,-31,-31,EX,DD,DD,None,0.75-0.79
1163,VVS1,-26,-24,-23,-30,-34,-33,-29,-31,-29,-31,EX,DD,DD,None,0.75-0.79
1164,VVS2,-32,-30,-28,-34,-36,-34,-30,-31,-29,-36,EX,DD,DD,None,0.75-0.79
1165,VS1,-33,-32,-32,-31,-33,-31,-28,-31,-32,-35,EX,DD,DD,None,0.75-0.79
1166,VS2,-36,-38,-36,-34,-31,-29,-29,-31,-30,-37,EX,DD,DD,None,0.75-0.79
1167,SI1,-36,-34,-35,-33,-30,-27,-25,-31,-30,-35,EX,DD,DD,None,0.75-0.79
1168,SI2,-41,-38,-40,-37,-32,-31,-25,-30,-31,-30,EX,DD,DD,None,0.75-0.79
1169,IF,-36,-31,-29,-35,-38,-36,-34,-31,-33,-33,EX,DD,DD,Faint,0.75-0.79
1170,VVS1,-33,-30,-29,-35,-39,-36,-32,-33,-31,-33,EX,DD,DD,Faint,0.75-0.79
1171,VVS2,-39,-36,-34,-39,-41,-37,-33,-33,-31,-38,EX,DD,DD,Faint,0.75-0.79
1172,VS1,-40,-38,-38,-35,-37,-34,-31,-34,-35,-38,EX,DD,DD,Faint,0.75-0.79
1173,VS2,-43,-44,-42,-38,-35,-32,-32,-34,-33,-40,EX,DD,DD,Faint,0.75-0.79
1174,SI1,-43,-40,-41,-37,-34,-30,-28,-34,-33,-38,EX,DD,DD,Faint,0.75-0.79
1175,SI2,-48,-44,-46,-41,-36,-34,-28,-33,-34,-33,EX,DD,DD,Faint,0.75-0.79
1176,IF,-41,-35,-33,-40,-42,-40,-38,-36,-38,-38,EX,DD,DD,Med,0.75-0.79
1177,VVS1,-38,-34,-33,-40,-43,-40,-36,-38,-36,-38,EX,DD,DD,Med,0.75-0.79
1178,VVS2,-44,-40,-38,-44,-45,-41,-37,-38,-36,-43,EX,DD,DD,Med,0.75-0.79
1179,VS1,-44,-42,-42,-40,-42,-38,-35,-38,-39,-42,EX,DD,DD,Med,0.75-0.79
1180,VS2,-47,-48,-46,-43,-40,-36,-36,-38,-37,-44,EX,DD,DD,Med,0.75-0.79
1181,SI1,-46,-44,-45,-42,-38,-35,-33,-39,-38,-43,EX,DD,DD,Med,0.75-0.79
1182,SI2,-51,-48,-50,-46,-40,-39,-33,-38,-39,-38,EX,DD,DD,Med,0.75-0.79
1183,IF,-55,-51,-49,-55,-56,-55,-52,-50,-52,-52,EX,DD,DD,Very Strong,0.75-0.79
1184,VVS1,-52,-50,-49,-55,-57,-55,-50,-52,-50,-52,EX,DD,DD,Very Strong,0.75-0.79
1185,VVS2,-58,-56,-54,-59,-59,-56,-51,-52,-50,-57,EX,DD,DD,Very Strong,0.75-0.79
1186,VS1,-54,-52,-52,-50,-52,-50,-45,-48,-49,-52,EX,DD,DD,Very Strong,0.75-0.79
1187,VS2,-57,-58,-56,-53,-50,-48,-46,-48,-47,-54,EX,DD,DD,Very Strong,0.75-0.79
1188,SI1,-56,-54,-55,-51,-48,-44,-41,-47,-46,-51,EX,DD,DD,Very Strong,0.75-0.79
1189,SI2,-61,-58,-60,-55,-50,-48,-41,-46,-47,-46,EX,DD,DD,Very Strong,0.75-0.79
1190,IF,-37,-33,-31,-37,-40,-40,-38,-35,-37,-37,VG,DD,DD,None,0.75-0.79
1191,VVS1,-34,-32,-31,-37,-41,-40,-36,-37,-35,-37,VG,DD,DD,None,0.75-0.79
1192,VVS2,-40,-38,-36,-41,-43,-41,-37,-37,-35,-42,VG,DD,DD,None,0.75-0.79
1193,VS1,-41,-40,-40,-38,-40,-38,-34,-36,-37,-40,VG,DD,DD,None,0.75-0.79
1194,VS2,-44,-46,-44,-41,-38,-36,-35,-36,-35,-42,VG,DD,DD,None,0.75-0.79
1195,SI1,-44,-42,-43,-40,-37,-34,-32,-37,-36,-41,VG,DD,DD,None,0.75-0.79
1196,SI2,-49,-46,-48,-44,-39,-38,-32,-36,-37,-36,VG,DD,DD,None,0.75-0.79
1197,IF,-44,-39,-37,-42,-45,-43,-41,-37,-39,-39,VG,DD,DD,Faint,0.75-0.79
1198,VVS1,-41,-38,-37,-42,-46,-43,-39,-39,-37,-39,VG,DD,DD,Faint,0.75-0.79
1199,VVS2,-47,-44,-42,-46,-48,-44,-40,-39,-37,-44,VG,DD,DD,Faint,0.75-0.79
1200,VS1,-48,-46,-46,-42,-44,-41,-37,-39,-40,-43,VG,DD,DD,Faint,0.75-0.79
1201,VS2,-51,-52,-50,-45,-42,-39,-38,-39,-38,-45,VG,DD,DD,Faint,0.75-0.79
1202,SI1,-51,-48,-49,-44,-41,-37,-35,-40,-39,-44,VG,DD,DD,Faint,0.75-0.79
1203,SI2,-56,-52,-54,-48,-43,-41,-35,-39,-40,-39,VG,DD,DD,Faint,0.75-0.79
1204,IF,-49,-43,-41,-47,-49,-47,-45,-42,-44,-44,VG,DD,DD,Med,0.75-0.79
1205,VVS1,-46,-42,-41,-47,-50,-47,-43,-44,-42,-44,VG,DD,DD,Med,0.75-0.79
1206,VVS2,-52,-48,-46,-51,-52,-48,-44,-44,-42,-49,VG,DD,DD,Med,0.75-0.79
1207,VS1,-52,-50,-50,-47,-49,-45,-41,-43,-44,-47,VG,DD,DD,Med,0.75-0.79
1208,VS2,-55,-56,-54,-50,-47,-43,-42,-43,-42,-49,VG,DD,DD,Med,0.75-0.79
1209,SI1,-54,-52,-53,-49,-45,-42,-40,-45,-44,-49,VG,DD,DD,Med,0.75-0.79
1210,SI2,-59,-56,-58,-53,-47,-46,-40,-44,-45,-44,VG,DD,DD,Med,0.75-0.79
1211,IF,-58,-54,-52,-57,-58,-57,-54,-51,-53,-53,VG,DD,DD,Strong,0.75-0.79
1212,VVS1,-55,-53,-52,-57,-59,-57,-52,-53,-51,-53,VG,DD,DD,Strong,0.75-0.79
1213,VVS2,-61,-59,-57,-61,-61,-58,-53,-53,-51,-58,VG,DD,DD,Strong,0.75-0.79
1214,VS1,-57,-55,-55,-52,-54,-52,-46,-48,-49,-52,VG,DD,DD,Strong,0.75-0.79
1215,VS2,-60,-61,-59,-55,-52,-50,-47,-48,-47,-54,VG,DD,DD,Strong,0.75-0.79
1216,SI1,-59,-57,-58,-53,-50,-46,-43,-48,-47,-52,VG,DD,DD,Strong,0.75-0.79
1217,SI2,-64,-61,-63,-57,-52,-50,-43,-47,-48,-47,VG,DD,DD,Strong,0.75-0.79
1218,IF,-63,-59,-57,-62,-63,-62,-59,-56,-58,-58,VG,DD,DD,Very Strong,0.75-0.79
1219,VVS1,-60,-58,-57,-62,-64,-62,-57,-58,-56,-58,VG,DD,DD,Very Strong,0.75-0.79
1220,VVS2,-66,-64,-62,-66,-66,-63,-58,-58,-56,-63,VG,DD,DD,Very Strong,0.75-0.79
1221,VS1,-62,-60,-60,-57,-59,-57,-51,-53,-54,-57,VG,DD,DD,Very Strong,0.75-0.79
1222,VS2,-65,-66,-64,-60,-57,-55,-52,-53,-52,-59,VG,DD,DD,Very Strong,0.75-0.79
1223,SI1,-64,-62,-63,-58,-55,-51,-48,-53,-52,-57,VG,DD,DD,Very Strong,0.75-0.79
1224,SI2,-69,-66,-68,-62,-57,-55,-48,-52,-53,-52,VG,DD,DD,Very Strong,0.75-0.79
1225,IF,-50,-46,-43,-50,-53,-52,-51,-49,-51,-51,GD,DD,DD,None,0.75-0.79
1226,VVS1,-47,-45,-43,-50,-54,-52,-49,-51,-49,-51,GD,DD,DD,None,0.75-0.79
1227,VVS2,-53,-51,-48,-54,-56,-53,-50,-51,-49,-56,GD,DD,DD,None,0.75-0.79
1228,VS1,-55,-53,-53,-51,-54,-52,-48,-51,-52,-55,GD,DD,DD,None,0.75-0.79
1229,VS2,-58,-59,-57,-54,-52,-50,-49,-51,-50,-57,GD,DD,DD,None,0.75-0.79
1230,SI1,-53,-51,-52,-50,-47,-44,-43,-48,-47,-52,GD,DD,DD,None,0.75-0.79
1231,SI2,-58,-55,-57,-54,-49,-48,-43,-47,-48,-47,GD,DD,DD,None,0.75-0.79
1232,IF,-57,-53,-50,-56,-59,-56,-55,-53,-55,-55,GD,DD,DD,Faint,0.75-0.79
1233,VVS1,-54,-52,-50,-56,-60,-56,-53,-55,-53,-55,GD,DD,DD,Faint,0.75-0.79
1234,VVS2,-60,-58,-55,-60,-62,-57,-54,-55,-53,-60,GD,DD,DD,Faint,0.75-0.79
1235,VS1,-59,-56,-56,-54,-57,-55,-51,-54,-55,-58,GD,DD,DD,Faint,0.75-0.79
1236,VS2,-62,-62,-60,-57,-55,-53,-52,-54,-53,-60,GD,DD,DD,Faint,0.75-0.79
1237,SI1,-57,-54,-55,-53,-50,-47,-46,-51,-50,-55,GD,DD,DD,Faint,0.75-0.79
1238,SI2,-62,-58,-60,-57,-52,-51,-46,-50,-51,-50,GD,DD,DD,Faint,0.75-0.79
1239,IF,-69,-65,-61,-68,-69,-69,-68,-65,-67,-67,GD,DD,DD,Med,0.75-0.79
1240,VVS1,-66,-64,-61,-68,-69,-69,-66,-67,-65,-67,GD,DD,DD,Med,0.75-0.79
1241,VVS2,-69,-69,-66,-69,-69,-69,-67,-67,-65,-69,GD,DD,DD,Med,0.75-0.79
1242,VS1,-68,-66,-66,-63,-67,-64,-60,-63,-64,-67,GD,DD,DD,Med,0.75-0.79
1243,VS2,-69,-69,-69,-66,-65,-62,-61,-63,-62,-69,GD,DD,DD,Med,0.75-0.79
1244,SI1,-66,-64,-65,-62,-59,-55,-54,-58,-57,-62,GD,DD,DD,Med,0.75-0.79
1245,SI2,-69,-68,-69,-66,-61,-59,-54,-57,-58,-57,GD,DD,DD,Med,0.75-0.79
1246,IF,-71,-71,-68,-71,-71,-71,-71,-71,-71,-71,GD,DD,DD,Strong,0.75-0.79
1247,VVS1,-71,-70,-68,-71,-71,-71,-71,-71,-71,-71,GD,DD,DD,Strong,0.75-0.79
1248,VVS2,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,GD,DD,DD,Strong,0.75-0.79
1249,VS1,-71,-71,-71,-71,-71,-71,-68,-70,-71,-71,GD,DD,DD,Strong,0.75-0.79
1250,VS2,-71,-71,-71,-71,-71,-70,-69,-70,-69,-71,GD,DD,DD,Strong,0.75-0.79
1251,SI1,-71,-71,-71,-70,-67,-64,-63,-67,-66,-71,GD,DD,DD,Strong,0.75-0.79
1252,SI2,-71,-71,-71,-71,-69,-68,-63,-66,-67,-66,GD,DD,DD,Strong,0.75-0.79
1253,IF,-76,-76,-73,-76,-76,-76,-76,-76,-76,-76,GD,DD,DD,Very Strong,0.75-0.79
1254,VVS1,-76,-75,-73,-76,-76,-76,-76,-76,-76,-76,GD,DD,DD,Very Strong,0.75-0.79
1255,VVS2,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,GD,DD,DD,Very Strong,0.75-0.79
1256,VS1,-76,-76,-76,-76,-76,-76,-73,-75,-76,-76,GD,DD,DD,Very Strong,0.75-0.79
1257,VS2,-76,-76,-76,-76,-76,-75,-74,-75,-74,-76,GD,DD,DD,Very Strong,0.75-0.79
1258,SI1,-76,-76,-76,-75,-72,-69,-68,-72,-71,-76,GD,DD,DD,Very Strong,0.75-0.79
1259,SI2,-76,-76,-76,-76,-74,-73,-68,-71,-72,-71,GD,DD,DD,Very Strong,0.75-0.79
1260,IF,-16,-11,-9,-14,-20,-18,-20,-18,-17,-22,EX,EX,EX,None,0.80-0.89
1261,VVS1,-11,-9,-11,-11,-19,-20,-20,-18,-19,-25,EX,EX,EX,None,0.80-0.89
1262,VVS2,-15,-15,-15,-16,-21,-20,-19,-15,-23,-28,EX,EX,EX,None,0.80-0.89
1263,VS1,-18,-18,-17,-20,-20,-23,-21,-18,-24,-25,EX,EX,EX,None,0.80-0.89
1264,VS2,-18,-20,-19,-19,-18,-22,-19,-19,-26,-26,EX,EX,EX,None,0.80-0.89
1265,SI1,-22,-23,-19,-21,-20,-20,-19,-26,-27,-27,EX,EX,EX,None,0.80-0.89
1266,SI2,-24,-27,-25,-25,-22,-22,-21,-24,-26,-25,EX,EX,EX,None,0.80-0.89
1267,IF,-26,-20,-17,-21,-26,-23,-24,-21,-20,-25,EX,EX,EX,Faint,0.80-0.89
1268,VVS1,-21,-18,-19,-18,-25,-25,-24,-21,-22,-28,EX,EX,EX,Faint,0.80-0.89
1269,VVS2,-25,-24,-23,-23,-27,-25,-23,-18,-26,-31,EX,EX,EX,Faint,0.80-0.89
1270,VS1,-28,-27,-25,-27,-26,-28,-25,-21,-27,-28,EX,EX,EX,Faint,0.80-0.89
1271,VS2,-28,-29,-27,-26,-24,-27,-23,-22,-29,-29,EX,EX,EX,Faint,0.80-0.89
1272,SI1,-30,-31,-26,-28,-26,-25,-23,-29,-30,-30,EX,EX,EX,Faint,0.80-0.89
1273,SI2,-32,-35,-32,-32,-28,-27,-25,-27,-29,-28,EX,EX,EX,Faint,0.80-0.89
1274,IF,-34,-28,-26,-31,-34,-30,-30,-27,-26,-31,EX,EX,EX,Med,0.80-0.89
1275,VVS1,-29,-26,-28,-28,-33,-32,-30,-27,-28,-34,EX,EX,EX,Med,0.80-0.89
1276,VVS2,-33,-32,-32,-33,-35,-32,-29,-24,-32,-37,EX,EX,EX,Med,0.80-0.89
1277,VS1,-36,-34,-33,-35,-33,-34,-29,-26,-32,-33,EX,EX,EX,Med,0.80-0.89
1278,VS2,-36,-36,-35,-34,-31,-33,-27,-27,-34,-34,EX,EX,EX,Med,0.80-0.89
1279,SI1,-39,-38,-33,-35,-32,-30,-28,-34,-35,-35,EX,EX,EX,Med,0.80-0.89
1280,SI2,-41,-42,-39,-39,-34,-32,-30,-32,-34,-33,EX,EX,EX,Med,0.80-0.89
1281,IF,-43,-38,-35,-40,-43,-39,-39,-35,-34,-39,EX,EX,EX,Strong,0.80-0.89
1282,VVS1,-38,-36,-37,-37,-42,-41,-39,-35,-36,-42,EX,EX,EX,Strong,0.80-0.89
1283,VVS2,-42,-42,-41,-42,-44,-41,-38,-32,-40,-45,EX,EX,EX,Strong,0.80-0.89
1284,VS1,-44,-42,-40,-40,-38,-40,-36,-32,-38,-39,EX,EX,EX,Strong,0.80-0.89
1285,VS2,-44,-44,-42,-39,-36,-39,-34,-33,-40,-40,EX,EX,EX,Strong,0.80-0.89
1286,SI1,-44,-43,-38,-40,-37,-35,-33,-39,-40,-40,EX,EX,EX,Strong,0.80-0.89
1287,SI2,-46,-47,-44,-44,-39,-37,-35,-37,-39,-38,EX,EX,EX,Strong,0.80-0.89
1288,IF,-48,-43,-40,-45,-48,-44,-44,-40,-39,-44,EX,EX,EX,Very Strong,0.80-0.89
1289,VVS1,-43,-41,-42,-42,-47,-46,-44,-40,-41,-47,EX,EX,EX,Very Strong,0.80-0.89
1290,VVS2,-47,-47,-46,-47,-49,-46,-43,-37,-45,-50,EX,EX,EX,Very Strong,0.80-0.89
1291,VS1,-49,-47,-45,-45,-43,-45,-41,-37,-43,-44,EX,EX,EX,Very Strong,0.80-0.89
1292,VS2,-49,-49,-47,-44,-41,-44,-39,-38,-45,-45,EX,EX,EX,Very Strong,0.80-0.89
1293,SI1,-49,-48,-43,-45,-42,-40,-38,-44,-45,-45,EX,EX,EX,Very Strong,0.80-0.89
