,Clarity,IF,VVS1,VVS2,VS1,VS2,SI1,SI2,Size,Shape
0,D,-41,-41,-39,-41,-41,-41,-37,0.50-0.599,PEAR
1,E,-38,-39,-37,-38,-39,-38,-35,0.50-0.599,PEAR
2,F,-37,-36,-36,-37,-38,-36,-33,0.50-0.599,PEAR
3,G,-36,-35,-33,-33,-37,-34,-31,0.50-0.599,PEAR
4,H,-36,-35,-35,-35,-33,-33,-32,0.50-0.599,PEAR
5,I,-38,-37,-35,-34,-34,-32,-33,0.50-0.599,PEAR
6,J,,,,,,,,0.50-0.599,PEAR
7,K,,,,,,,,0.50-0.599,PEAR
8,L,,,,,,,,0.50-0.599,PEAR
9,M,,,,,,,,0.50-0.599,PEAR
10,D,-39,-42,-42,-40,-41,-40,-36,0.50-0.599,OVAL
11,E,-37,-40,-40,-38,-39,-39,-35,0.50-0.599,OVAL
12,F,-40,-40,-39,-40,-39,-38,-33,0.50-0.599,OVAL
13,G,-43,-42,-40,-39,-38,-36,-35,0.50-0.599,OVAL
14,H,-41,-44,-42,-42,-41,-38,-38,0.50-0.599,OVAL
15,I,-41,-42,-41,-40,-39,-37,-37,0.50-0.599,OVAL
16,J,,,,,,,,0.50-0.599,OVAL
17,K,,,,,,,,0.50-0.599,OVAL
18,L,,,,,,,,0.50-0.599,OVAL
19,M,,,,,,,,0.50-0.599,OVAL
20,D,-42,-44,-47,-46,-46,-42,-44,0.50-0.599,PRINCESS
21,E,-45,-46,-46,-44,-44,-46,-42,0.50-0.599,PRINCESS
22,F,-44,-44,-43,-43,-45,-45,-40,0.50-0.599,PRINCESS
23,G,-44,-41,-40,-40,-45,-44,-40,0.50-0.599,PRINCESS
24,H,-44,-45,-44,-43,-44,-42,-38,0.50-0.599,PRINCESS
25,I,-40,-43,-42,-41,-41,-37,-38,0.50-0.599,PRINCESS
26,J,,,,,,,,0.50-0.599,PRINCESS
27,K,,,,,,,,0.50-0.599,PRINCESS
28,L,,,,,,,,0.50-0.599,PRINCESS
29,M,,,,,,,,0.50-0.599,PRINCESS
30,D,-57,-60,-59,-58,-57,-52,-48,0.50-0.599,CUSHION
31,E,-57,-59,-58,-57,-56,-53,-47,0.50-0.599,CUSHION
32,F,-55,-59,-57,-57,-56,-53,-48,0.50-0.599,CUSHION
33,G,-59,-57,-55,-55,-56,-53,-46,0.50-0.599,CUSHION
34,H,-57,-58,-56,-56,-56,-52,-48,0.50-0.599,CUSHION
35,I,-57,-56,-58,-57,-56,-52,-49,0.50-0.599,CUSHION
36,J,,,,,,,,0.50-0.599,CUSHION
37,K,,,,,,,,0.50-0.599,CUSHION
38,L,,,,,,,,0.50-0.599,CUSHION
39,M,,,,,,,,0.50-0.599,CUSHION
40,D,-32,-33,-32,-30,-33,-32,-36,0.50-0.599,MARQUISE
41,E,-27,-30,-29,-28,-30,-28,-32,0.50-0.599,MARQUISE
42,F,-30,-30,-28,-28,-29,-30,-30,0.50-0.599,MARQUISE
43,G,-30,-30,-28,-27,-28,-28,-28,0.50-0.599,MARQUISE
44,H,-32,-33,-34,-33,-31,-28,-30,0.50-0.599,MARQUISE
45,I,-30,-30,-32,-31,-32,-33,-32,0.50-0.599,MARQUISE
46,J,,,,,,,,0.50-0.599,MARQUISE
47,K,,,,,,,,0.50-0.599,MARQUISE
48,L,,,,,,,,0.50-0.599,MARQUISE
49,M,,,,,,,,0.50-0.599,MARQUISE
50,D,-51,-50,-50,-48,-48,-50,-46,0.50-0.599,EMERALD
51,E,-51,-50,-48,-47,-52,-50,-45,0.50-0.599,EMERALD
52,F,-50,-49,-47,-47,-52,-50,-44,0.50-0.599,EMERALD
53,G,-50,-48,-46,-45,-52,-49,-44,0.50-0.599,EMERALD
54,H,-51,-54,-52,-51,-51,-47,-45,0.50-0.599,EMERALD
55,I,-49,-54,-53,-52,-51,-48,-50,0.50-0.599,EMERALD
56,J,,,,,,,,0.50-0.599,EMERALD
57,K,,,,,,,,0.50-0.599,EMERALD
58,L,,,,,,,,0.50-0.599,EMERALD
59,M,,,,,,,,0.50-0.599,EMERALD
60,D,-33,-30,-27,-29,-30,-31,-30,0.60-0.699,PEAR
61,E,-28,-27,-26,-25,-27,-26,-29,0.60-0.699,PEAR
62,F,-25,-26,-26,-25,-25,-27,-31,0.60-0.699,PEAR
63,G,-21,-24,-22,-22,-25,-26,-28,0.60-0.699,PEAR
64,H,-25,-24,-21,-25,-24,-24,-25,0.60-0.699,PEAR
65,I,-20,-21,-20,-24,-24,-24,-24,0.60-0.699,PEAR
66,J,,,,,,,,0.60-0.699,PEAR
67,K,,,,,,,,0.60-0.699,PEAR
68,L,,,,,,,,0.60-0.699,PEAR
69,M,,,,,,,,0.60-0.699,PEAR
70,D,-30,-30,-30,-27,-29,-26,-30,0.60-0.699,OVAL
71,E,-27,-32,-29,-27,-25,-26,-25,0.60-0.699,OVAL
72,F,-28,-30,-28,-27,-28,-25,-24,0.60-0.699,OVAL
73,G,-31,-30,-26,-28,-27,-25,-25,0.60-0.699,OVAL
74,H,-28,-27,-25,-25,-25,-23,-24,0.60-0.699,OVAL
75,I,-32,-32,-33,-32,-30,-28,-24,0.60-0.699,OVAL
76,J,,,,,,,,0.60-0.699,OVAL
77,K,,,,,,,,0.60-0.699,OVAL
78,L,,,,,,,,0.60-0.699,OVAL
79,M,,,,,,,,0.60-0.699,OVAL
80,D,-33,-34,-34,-34,-37,-28,-31,0.60-0.699,PRINCESS
81,E,-33,-35,-37,-38,-35,-37,-38,0.60-0.699,PRINCESS
82,F,-38,-36,-38,-37,-36,-35,-36,0.60-0.699,PRINCESS
83,G,-39,-36,-37,-36,-35,-36,-33,0.60-0.699,PRINCESS
84,H,-34,-38,-34,-33,-35,-34,-33,0.60-0.699,PRINCESS
85,I,-31,-32,-34,-33,-34,-28,-30,0.60-0.699,PRINCESS
86,J,,,,,,,,0.60-0.699,PRINCESS
87,K,,,,,,,,0.60-0.699,PRINCESS
88,L,,,,,,,,0.60-0.699,PRINCESS
89,M,,,,,,,,0.60-0.699,PRINCESS
90,D,-50,-50,-48,-49,-50,-47,-45,0.60-0.699,CUSHION
91,E,-45,-48,-46,-47,-47,-48,-43,0.60-0.699,CUSHION
92,F,-50,-50,-48,-48,-46,-47,-44,0.60-0.699,CUSHION
93,G,-48,-48,-48,-48,-48,-46,-45,0.60-0.699,CUSHION
94,H,-49,-49,-50,-49,-48,-45,-44,0.60-0.699,CUSHION
95,I,-45,-49,-50,-49,-48,-42,-43,0.60-0.699,CUSHION
96,J,,,,,,,,0.60-0.699,CUSHION
97,K,,,,,,,,0.60-0.699,CUSHION
98,L,,,,,,,,0.60-0.699,CUSHION
99,M,,,,,,,,0.60-0.699,CUSHION
100,D,-22,-23,-20,-21,-21,-23,-23,0.60-0.699,MARQUISE
101,E,-23,-23,-22,-22,-22,-22,-25,0.60-0.699,MARQUISE
102,F,-23,-22,-20,-20,-20,-23,-23,0.60-0.699,MARQUISE
103,G,-20,-20,-19,-20,-22,-21,-21,0.60-0.699,MARQUISE
104,H,-22,-20,-23,-22,-21,-23,-24,0.60-0.699,MARQUISE
105,I,-21,-20,-19,-18,-16,-18,-21,0.60-0.699,MARQUISE
106,J,,,,,,,,0.60-0.699,MARQUISE
107,K,,,,,,,,0.60-0.699,MARQUISE
108,L,,,,,,,,0.60-0.699,MARQUISE
109,M,,,,,,,,0.60-0.699,MARQUISE
110,D,-48,-46,-46,-44,-46,-44,-39,0.60-0.699,EMERALD
111,E,-48,-48,-46,-46,-46,-43,-41,0.60-0.699,EMERALD
112,F,-46,-48,-46,-46,-45,-42,-39,0.60-0.699,EMERALD
113,G,-48,-46,-43,-44,-44,-40,-41,0.60-0.699,EMERALD
114,H,-44,-45,-43,-42,-41,-38,-40,0.60-0.699,EMERALD
115,I,-40,-41,-40,-39,-37,-37,-37,0.60-0.699,EMERALD
116,J,,,,,,,,0.60-0.699,EMERALD
117,K,,,,,,,,0.60-0.699,EMERALD
118,L,,,,,,,,0.60-0.699,EMERALD
119,M,,,,,,,,0.60-0.699,EMERALD
120,D,-35,-32,-30,-28,-31,-38,-36,0.70-0.799,PEAR
121,E,-30,-31,-29,-28,-30,-36,-35,0.70-0.799,PEAR
122,F,-30,-28,-32,-31,-28,-35,-37,0.70-0.799,PEAR
123,G,-32,-32,-30,-28,-28,-31,-34,0.70-0.799,PEAR
124,H,-30,-33,-31,-30,-28,-32,-30,0.70-0.799,PEAR
125,I,-25,-27,-25,-24,-24,-28,-29,0.70-0.799,PEAR
126,J,,,,,,,,0.70-0.799,PEAR
127,K,,,,,,,,0.70-0.799,PEAR
128,L,,,,,,,,0.70-0.799,PEAR
129,M,,,,,,,,0.70-0.799,PEAR
130,D,-36,-31,-32,-33,-36,-37,-37,0.70-0.799,OVAL
131,E,-37,-34,-36,-35,-36,-35,-36,0.70-0.799,OVAL
132,F,-38,-40,-39,-37,-37,-35,-33,0.70-0.799,OVAL
133,G,-35,-37,-36,-34,-33,-33,-32,0.70-0.799,OVAL
134,H,-32,-34,-34,-34,-29,-30,-30,0.70-0.799,OVAL
135,I,-33,-32,-32,-29,-30,-29,-27,0.70-0.799,OVAL
136,J,-32,-31,-31,-30,-29,-29,-28,0.70-0.799,OVAL
137,K,,,,,,,,0.70-0.799,OVAL
138,L,,,,,,,,0.70-0.799,OVAL
139,M,,,,,,,,0.70-0.799,OVAL
140,D,-46,-44,-46,-46,-47,-44,-47,0.70-0.799,PRINCESS
141,E,-48,-47,-45,-45,-45,-46,-45,0.70-0.799,PRINCESS
142,F,-46,-46,-45,-45,-45,-46,-44,0.70-0.799,PRINCESS
143,G,-44,-44,-42,-43,-45,-43,-43,0.70-0.799,PRINCESS
144,H,-44,-43,-41,-39,-41,-42,-43,0.70-0.799,PRINCESS
145,I,-36,-38,-37,-37,-38,-38,-42,0.70-0.799,PRINCESS
146,J,,,,,,,,0.70-0.799,PRINCESS
147,K,,,,,,,,0.70-0.799,PRINCESS
148,L,,,,,,,,0.70-0.799,PRINCESS
149,M,,,,,,,,0.70-0.799,PRINCESS
150,D,-53,-50,-50,-52,-50,-49,-53,0.70-0.799,CUSHION
151,E,-49,-51,-51,-52,-53,-50,-55,0.70-0.799,CUSHION
152,F,-54,-53,-55,-55,-53,-51,-54,0.70-0.799,CUSHION
153,G,-53,-56,-57,-56,-53,-51,-53,0.70-0.799,CUSHION
154,H,-54,-53,-56,-55,-52,-48,-50,0.70-0.799,CUSHION
155,I,-53,-54,-52,-53,-52,-54,-50,0.70-0.799,CUSHION
156,J,,,,,,,,0.70-0.799,CUSHION
157,K,,,,,,,,0.70-0.799,CUSHION
158,L,,,,,,,,0.70-0.799,CUSHION
159,M,,,,,,,,0.70-0.799,CUSHION
160,D,-25,-30,-30,-30,-34,-35,-40,0.70-0.799,MARQUISE
161,E,-27,-28,-29,-30,-32,-33,-38,0.70-0.799,MARQUISE
162,F,-25,-25,-28,-29,-30,-33,-35,0.70-0.799,MARQUISE
163,G,-26,-26,-25,-25,-28,-30,-32,0.70-0.799,MARQUISE
164,H,-27,-26,-25,-25,-26,-31,-31,0.70-0.799,MARQUISE
165,I,-26,-33,-30,-27,-29,-26,-27,0.70-0.799,MARQUISE
166,J,,,,,,,,0.70-0.799,MARQUISE
167,K,,,,,,,,0.70-0.799,MARQUISE
168,L,,,,,,,,0.70-0.799,MARQUISE
169,M,,,,,,,,0.70-0.799,MARQUISE
170,D,-49,-54,-54,-52,-52,-53,-46,0.70-0.799,EMERALD
171,E,-48,-53,-52,-55,-53,-54,-51,0.70-0.799,EMERALD
172,F,-50,-55,-54,-56,-55,-52,-49,0.70-0.799,EMERALD
173,G,-53,-54,-53,-54,-52,-52,-46,0.70-0.799,EMERALD
174,H,-54,-52,-50,-51,-50,-49,-43,0.70-0.799,EMERALD
175,I,-45,-43,-42,-41,-43,-45,-48,0.70-0.799,EMERALD
176,J,-44,-45,-48,-47,-46,-45,-43,0.70-0.799,EMERALD
177,K,,,,,,,,0.70-0.799,EMERALD
178,L,,,,,,,,0.70-0.799,EMERALD
179,M,,,,,,,,0.70-0.799,EMERALD
180,D,-25,-24,-28,-27,-27,-27,-32,0.80-0.899,PEAR
181,E,-19,-21,-28,-27,-26,-27,-29,0.80-0.899,PEAR
182,F,-23,-20,-27,-28,-26,-25,-29,0.80-0.899,PEAR
183,G,-28,-24,-23,-24,-24,-25,-26,0.80-0.899,PEAR
184,H,-23,-21,-19,-20,-19,-21,-22,0.80-0.899,PEAR
185,I,-20,-21,-19,-17,-18,-20,-25,0.80-0.899,PEAR
186,J,,,,,,,,0.80-0.899,PEAR
187,K,,,,,,,,0.80-0.899,PEAR
188,L,,,,,,,,0.80-0.899,PEAR
189,M,,,,,,,,0.80-0.899,PEAR
190,D,-33,-30,-30,-32,-32,-31,-33,0.80-0.899,OVAL
191,E,-29,-30,-32,-34,-32,-32,-31,0.80-0.899,OVAL
192,F,-27,-32,-30,-32,-30,-29,-30,0.80-0.899,OVAL
193,G,-32,-29,-30,-29,-28,-24,-26,0.80-0.899,OVAL
194,H,-27,-28,-29,-30,-25,-25,-25,0.80-0.899,OVAL
195,I,-26,-25,-28,-25,-26,-22,-22,0.80-0.899,OVAL
196,J,-24,-25,-25,-26,-26,-24,-24,0.80-0.899,OVAL
197,K,,,,,,,,0.80-0.899,OVAL
198,L,,,,,,,,0.80-0.899,OVAL
199,M,,,,,,,,0.80-0.899,OVAL
200,D,-31,-30,-34,-38,-40,-42,-43,0.80-0.899,PRINCESS
201,E,-35,-39,-40,-41,-43,-40,-40,0.80-0.899,PRINCESS
202,F,-32,-40,-40,-41,-41,-38,-41,0.80-0.899,PRINCESS
203,G,-42,-40,-39,-38,-39,-38,-41,0.80-0.899,PRINCESS
204,H,-40,-42,-40,-38,-38,-34,-38,0.80-0.899,PRINCESS
205,I,-30,-32,-30,-31,-35,-36,-37,0.80-0.899,PRINCESS
206,J,0,0,0,0,0,0,0,0.80-0.899,PRINCESS
207,K,,,,,,,,0.80-0.899,PRINCESS
208,L,,,,,,,,0.80-0.899,PRINCESS
209,M,,,,,,,,0.80-0.899,PRINCESS
210,D,-40,-46,-46,-46,-46,-46,-51,0.80-0.899,CUSHION
211,E,-47,-47,-45,-47,-48,-46,-50,0.80-0.899,CUSHION
212,F,-47,-45,-44,-47,-46,-46,-48,0.80-0.899,CUSHION
213,G,-47,-45,-44,-49,-46,-46,-46,0.80-0.899,CUSHION
214,H,-48,-48,-49,-48,-44,-43,-46,0.80-0.899,CUSHION
215,I,-43,-45,-48,-46,-45,-45,-45,0.80-0.899,CUSHION
216,J,0,0,0,0,0,0,0,0.80-0.899,CUSHION
217,K,,,,,,,,0.80-0.899,CUSHION
218,L,,,,,,,,0.80-0.899,CUSHION
219,M,,,,,,,,0.80-0.899,CUSHION
220,D,-20,-24,-22,-22,-26,-23,-27,0.80-0.899,MARQUISE
221,E,-22,-21,-20,-23,-24,-23,-26,0.80-0.899,MARQUISE
222,F,-24,-20,-20,-21,-22,-26,-29,0.80-0.899,MARQUISE
223,G,-21,-21,-21,-20,-21,-23,-27,0.80-0.899,MARQUISE
224,H,-22,-23,-24,-22,-21,-22,-26,0.80-0.899,MARQUISE
225,I,-25,-27,-29,-26,-26,-24,-25,0.80-0.899,MARQUISE
226,J,0,0,0,0,0,0,0,0.80-0.899,MARQUISE
227,K,,,,,,,,0.80-0.899,MARQUISE
228,L,,,,,,,,0.80-0.899,MARQUISE
229,M,,,,,,,,0.80-0.899,MARQUISE
230,D,-40,-39,-42,-43,-43,-45,-45,0.80-0.899,EMERALD
231,E,-45,-47,-46,-49,-47,-48,-50,0.80-0.899,EMERALD
232,F,-47,-49,-48,-48,-48,-46,-48,0.80-0.899,EMERALD
233,G,-48,-47,-49,-48,-45,-43,-45,0.80-0.899,EMERALD
234,H,-46,-45,-45,-44,-40,-38,-42,0.80-0.899,EMERALD
235,I,-37,-37,-35,-35,-34,-36,-38,0.80-0.899,EMERALD
236,J,-37,-36,-37,-36,-35,-35,-38,0.80-0.899,EMERALD
237,K,,,,,,,,0.80-0.899,EMERALD
238,L,,,,,,,,0.80-0.899,EMERALD
239,M,,,,,,,,0.80-0.899,EMERALD
240,D,-41,-32,-30,-31,-30,-35,-39,0.90-0.979,PEAR
241,E,-33,-35,-33,-29,-33,-36,-37,0.90-0.979,PEAR
242,F,-29,-31,-28,-31,-32,-36,-35,0.90-0.979,PEAR
243,G,-23,-26,-25,-28,-29,-34,-33,0.90-0.979,PEAR
244,H,-27,-27,-27,-27,-29,-34,-34,0.90-0.979,PEAR
245,I,-29,-27,-25,-25,-30,-35,-39,0.90-0.979,PEAR
246,J,,,,,,,,0.90-0.979,PEAR
247,K,,,,,,,,0.90-0.979,PEAR
248,L,,,,,,,,0.90-0.979,PEAR
249,M,,,,,,,,0.90-0.979,PEAR
250,D,-37,-35,-38,-39,-35,-36,-40,0.90-0.979,OVAL
251,E,-29,-31,-37,-35,-34,-36,-39,0.90-0.979,OVAL
252,F,-23,-28,-33,-33,-32,-35,-37,0.90-0.979,OVAL
253,G,-25,-27,-30,-30,-32,-33,-35,0.90-0.979,OVAL
254,H,-30,-34,-36,-34,-33,-30,-36,0.90-0.979,OVAL
255,I,-32,-30,-29,-28,-33,-32,-37,0.90-0.979,OVAL
256,J,,,,,,,,0.90-0.979,OVAL
257,K,,,,,,,,0.90-0.979,OVAL
258,L,,,,,,,,0.90-0.979,OVAL
259,M,,,,,,,,0.90-0.979,OVAL
260,D,-35,-39,-40,-42,-40,-37,-49,0.90-0.979,PRINCESS
261,E,-43,-44,-45,-45,-46,-49,-51,0.90-0.979,PRINCESS
262,F,-47,-49,-49,-47,-47,-50,-51,0.90-0.979,PRINCESS
263,G,-52,-51,-50,-50,-49,-52,-52,0.90-0.979,PRINCESS
264,H,-50,-49,-48,-46,-44,-49,-50,0.90-0.979,PRINCESS
265,I,-43,-46,-44,-45,-46,-46,-49,0.90-0.979,PRINCESS
266,J,,,,,,,,0.90-0.979,PRINCESS
267,K,,,,,,,,0.90-0.979,PRINCESS
268,L,,,,,,,,0.90-0.979,PRINCESS
269,M,,,,,,,,0.90-0.979,PRINCESS
270,D,-48,-55,-53,-53,-54,-54,-50,0.90-0.979,CUSHION
271,E,-53,-54,-55,-52,-53,-54,-56,0.90-0.979,CUSHION
272,F,-51,-53,-54,-54,-56,-53,-56,0.90-0.979,CUSHION
273,G,-53,-55,-54,-55,-55,-52,-55,0.90-0.979,CUSHION
274,H,-49,-53,-53,-54,-55,-51,-52,0.90-0.979,CUSHION
275,I,-48,-55,-54,-53,-54,-52,-53,0.90-0.979,CUSHION
276,J,,,,,,,,0.90-0.979,CUSHION
277,K,,,,,,,,0.90-0.979,CUSHION
278,L,,,,,,,,0.90-0.979,CUSHION
279,M,,,,,,,,0.90-0.979,CUSHION
280,D,-20,-23,-20,-23,-23,-25,-28,0.90-0.979,MARQUISE
281,E,-28,-27,-25,-24,-28,-26,-32,0.90-0.979,MARQUISE
282,F,-30,-30,-30,-29,-29,-30,-30,0.90-0.979,MARQUISE
283,G,-31,-28,-27,-28,-31,-33,-35,0.90-0.979,MARQUISE
284,H,-32,-35,-33,-31,-31,-34,-32,0.90-0.979,MARQUISE
285,I,-34,-33,-31,-29,-27,-28,-29,0.90-0.979,MARQUISE
286,J,,,,,,,,0.90-0.979,MARQUISE
287,K,,,,,,,,0.90-0.979,MARQUISE
288,L,,,,,,,,0.90-0.979,MARQUISE
289,M,,,,,,,,0.90-0.979,MARQUISE
290,D,-50,-52,-50,-50,-47,-48,-50,0.90-0.979,EMERALD
291,E,-51,-53,-50,-51,-49,-48,-49,0.90-0.979,EMERALD
292,F,-50,-52,-50,-51,-50,-47,-52,0.90-0.979,EMERALD
293,G,-48,-49,-47,-50,-51,-49,-50,0.90-0.979,EMERALD
294,H,-46,-49,-48,-47,-49,-48,-48,0.90-0.979,EMERALD
295,I,-45,-47,-45,-44,-44,-47,-45,0.90-0.979,EMERALD
296,J,,,,,,,,0.90-0.979,EMERALD
297,K,,,,,,,,0.90-0.979,EMERALD
298,L,,,,,,,,0.90-0.979,EMERALD
299,M,,,,,,,,0.90-0.979,EMERALD
300,D,-38,-29,-27,-28,-27,-32,-36,0.98-0.999,PEAR
301,E,-30,-32,-30,-26,-30,-33,-34,0.98-0.999,PEAR
302,F,-26,-28,-25,-28,-29,-33,-32,0.98-0.999,PEAR
303,G,-20,-23,-22,-25,-26,-31,-30,0.98-0.999,PEAR
304,H,-24,-24,-24,-24,-26,-31,-31,0.98-0.999,PEAR
305,I,-26,-24,-22,-22,-27,-32,-36,0.98-0.999,PEAR
306,J,,,,,,,,0.98-0.999,PEAR
307,K,,,,,,,,0.98-0.999,PEAR
308,L,,,,,,,,0.98-0.999,PEAR
309,M,,,,,,,,0.98-0.999,PEAR
310,D,-34,-32,-35,-36,-32,-33,-37,0.98-0.999,OVAL
311,E,-26,-28,-34,-32,-31,-33,-36,0.98-0.999,OVAL
312,F,-20,-25,-30,-30,-29,-32,-34,0.98-0.999,OVAL
313,G,-22,-24,-27,-27,-29,-30,-32,0.98-0.999,OVAL
314,H,-27,-31,-33,-31,-30,-27,-33,0.98-0.999,OVAL
315,I,-29,-27,-26,-25,-30,-29,-34,0.98-0.999,OVAL
316,J,,,,,,,,0.98-0.999,OVAL
317,K,,,,,,,,0.98-0.999,OVAL
318,L,,,,,,,,0.98-0.999,OVAL
319,M,,,,,,,,0.98-0.999,OVAL
320,D,-32,-36,-37,-39,-37,-34,-46,0.98-0.999,PRINCESS
321,E,-40,-41,-42,-42,-43,-46,-48,0.98-0.999,PRINCESS
322,F,-44,-46,-46,-44,-44,-47,-48,0.98-0.999,PRINCESS
323,G,-49,-48,-47,-47,-46,-49,-49,0.98-0.999,PRINCESS
324,H,-47,-46,-45,-43,-41,-46,-47,0.98-0.999,PRINCESS
325,I,-40,-43,-41,-42,-43,-43,-46,0.98-0.999,PRINCESS
326,J,,,,,,,,0.98-0.999,PRINCESS
327,K,,,,,,,,0.98-0.999,PRINCESS
328,L,,,,,,,,0.98-0.999,PRINCESS
329,M,,,,,,,,0.98-0.999,PRINCESS
330,D,-45,-52,-50,-50,-51,-51,-47,0.98-0.999,CUSHION
331,E,-50,-51,-52,-49,-50,-51,-53,0.98-0.999,CUSHION
332,F,-48,-50,-51,-51,-53,-50,-53,0.98-0.999,CUSHION
333,G,-50,-52,-51,-52,-52,-49,-52,0.98-0.999,CUSHION
334,H,-46,-50,-50,-51,-52,-48,-49,0.98-0.999,CUSHION
335,I,-45,-52,-51,-50,-51,-49,-50,0.98-0.999,CUSHION
336,J,,,,,,,,0.98-0.999,CUSHION
337,K,,,,,,,,0.98-0.999,CUSHION
338,L,,,,,,,,0.98-0.999,CUSHION
339,M,,,,,,,,0.98-0.999,CUSHION
340,D,-19,-22,-19,-22,-22,-24,-27,0.98-0.999,MARQUISE
341,E,-27,-26,-24,-23,-27,-25,-31,0.98-0.999,MARQUISE
342,F,-29,-29,-29,-28,-28,-29,-29,0.98-0.999,MARQUISE
343,G,-30,-27,-26,-27,-30,-32,-34,0.98-0.999,MARQUISE
344,H,-31,-34,-32,-30,-30,-33,-31,0.98-0.999,MARQUISE
345,I,-33,-32,-30,-28,-26,-27,-28,0.98-0.999,MARQUISE
346,J,,,,,,,,0.98-0.999,MARQUISE
347,K,,,,,,,,0.98-0.999,MARQUISE
348,L,,,,,,,,0.98-0.999,MARQUISE
349,M,,,,,,,,0.98-0.999,MARQUISE
350,D,-47,-49,-47,-47,-44,-45,-47,0.98-0.999,EMERALD
351,E,-48,-50,-47,-48,-46,-45,-46,0.98-0.999,EMERALD
352,F,-47,-49,-47,-48,-47,-44,-49,0.98-0.999,EMERALD
353,G,-45,-46,-44,-47,-48,-46,-47,0.98-0.999,EMERALD
354,H,-43,-46,-45,-44,-46,-45,-45,0.98-0.999,EMERALD
355,I,-42,-44,-42,-41,-41,-44,-42,0.98-0.999,EMERALD
356,J,,,,,,,,0.98-0.999,EMERALD
357,K,,,,,,,,0.98-0.999,EMERALD
358,L,,,,,,,,0.98-0.999,EMERALD
359,M,,,,,,,,0.98-0.999,EMERALD
360,D,-42,-40,-35,-35,-35,-37,-40,1.00-1.099,PEAR
361,E,-32,-35,-33,-32,-33,-35,-39,1.00-1.099,PEAR
362,F,-31,-32,-33,-31,-32,-34,-38,1.00-1.099,PEAR
363,G,-30,-28,-28,-28,-30,-34,-37,1.00-1.099,PEAR
364,H,-28,-30,-28,-32,-32,-34,-37,1.00-1.099,PEAR
365,I,-26,-30,-29,-32,-32,-33,-32,1.00-1.099,PEAR
366,J,-33,-31,-29,-30,-30,-30,-34,1.00-1.099,PEAR
367,K,-30,-27,-27,-30,-33,-35,-38,1.00-1.099,PEAR
368,L,-31,-35,-32,-36,-34,-36,-39,1.00-1.099,PEAR
369,M,,,,,,,,1.00-1.099,PEAR
370,D,-43,-44,-42,-41,-37,-38,-40,1.00-1.099,OVAL
371,E,-38,-41,-42,-39,-36,-36,-39,1.00-1.099,OVAL
372,F,-33,-37,-39,-40,-36,-36,-36,1.00-1.099,OVAL
373,G,-33,-36,-36,-38,-37,-35,-40,1.00-1.099,OVAL
374,H,-28,-34,-35,-36,-35,-36,-42,1.00-1.099,OVAL
375,I,-34,-35,-35,-34,-36,-35,-39,1.00-1.099,OVAL
376,J,-30,-38,-37,-36,-40,-38,-41,1.00-1.099,OVAL
377,K,-37,-38,-42,-44,-45,-46,-43,1.00-1.099,OVAL
378,L,-33,-33,-35,-38,-43,-43,-44,1.00-1.099,OVAL
379,M,,,,,,,,1.00-1.099,OVAL
380,D,-43,-46,-44,-43,-43,-44,-47,1.00-1.099,PRINCESS
381,E,-44,-45,-46,-47,-43,-45,-46,1.00-1.099,PRINCESS
382,F,-40,-43,-46,-46,-43,-44,-44,1.00-1.099,PRINCESS
383,G,-39,-41,-42,-43,-43,-42,-43,1.00-1.099,PRINCESS
